,Max Proba
ZSWIM8-AS1,0.8173264247792362
PCBP1,0.6459520293826354
RASA4,0.6423882860815716
MIR3940,0.5841883187631534
RASA4DP,0.5329821017060451
WASH7P,0.512772649421339
ELK1,0.48122184637608906
BCL2L2-PABPN1,0.4511572609154558
HDAC10,0.44426127706532476
ZRANB1,0.4126449716382951
PPP1R9B,0.39774414186785717
CRTC1,0.3749640983380182
RASA4CP,0.3703348785838604
PATZ1,0.35518397001557517
MLLT6,0.34772603197133833
SYNGAP1,0.333934816476475
TSNARE1,0.33141705429297375
GPR19,0.31854874438641523
BAHD1,0.29190872166522897
LMNTD2,0.284448399144957
FNBP1,0.2824301953046199
MIR6859-1,0.28028973561598597
DBP,0.2750568127675703
NDFIP1,0.2682845795425331
ANO8,0.26691327978558355
ATXN2L,0.26542770355779033
SUOX,0.25518162584541865
NBPF9,0.25237471310499726
POLR2J4,0.24933668195970501
CAPZA1,0.24335934567456982
ACTR1B,0.24266300139869398
MIR8085,0.2351228620958144
AGAP2-AS1,0.22891661947768818
MIR6800,0.2265136415583027
LLGL1,0.225403609975739
ABCC1,0.21915725408279768
ATXN7L3,0.20599753440260746
MIR6859-2,0.20409952260231162
ZNF395,0.20361509532318323
MIR6852,0.2008863838440513
ARID1A,0.19668924721314568
PCBP2-OT1,0.19507876241966293
SAMD1,0.190039736285107
MAPKAPK5-AS1,0.18904686980982532
FBRSL1,0.18849869041172437
MRFAP1,0.18683034463950063
AMFR,0.1861397596776697
PI4KAP2,0.1790324004188575
TSPOAP1-AS1,0.177709455508333
CDK11A,0.1775847846589367
BRCA1,0.17401400349279175
C6orf136,0.173882909930157
CLCN7,0.17323565373475552
NBPF26,0.17158153077842947
TMEM50B,0.16876259865733936
ARHGDIA,0.1650526172536911
IFI27,0.16401649394337267
MAFK,0.1631138016804899
MCUB,0.1610977076140516
FBRS,0.1563197004330445
PIEZO1,0.15275740124164194
SAP25,0.1487240533821547
GNPTG,0.1483666725664774
CNNM2,0.1463339827606406
TBC1D10A,0.14633051006934156
GATA3,0.14462283844821128
SLC26A11,0.14458096257345746
CCDC85C,0.1442406228041641
CBX4,0.14161725429519487
RPL11,0.13963417166648023
ATP1A1,0.1395993710885038
ADCY7,0.13760194744867482
HMGN2,0.1372839285771092
RELL1,0.1363951743526653
TMA7,0.13638657540325236
ELK3,0.13454614173766039
TMEM150A,0.13378164154209946
MIR6859-3,0.13121310030039754
ATP1A1-AS1,0.1302579902796123
RPS12,0.1298117682458269
POLR1D,0.12777203535831952
IDUA,0.12739279132804648
CD3D,0.12729621000068148
SRGAP2,0.12442767692233363
UQCRBP1,0.12397144770499324
RPL35,0.12388224055270898
SPNS1,0.12203442374744877
CTLA4,0.12191759779630484
EEF1D,0.12106915000000174
NOMO2,0.12097111306394837
EXOSC4,0.120217813148414
ZC3H7B,0.11952671135654658
FTH1P3,0.1193602403548556
RPL27,0.11813190543222093
HLA-G,0.11623280130173912
SNX32,0.11622571649821842
MIR7847,0.1150947724084758
DIP2A,0.11505865085911676
CD3G,0.11479595829349164
ATP2A2,0.11295318124457071
TAF4,0.11230506089785847
TPI1P3,0.11210172424047929
